apn,shape_area,category,year_built,class,county,unknown,place_name
"014128225",101100,Existing,2022,storage warehouse,San Bernardino County,"0",San Bernardino
"014128208",52500,Existing,1980,storage warehouse,San Bernardino County,"0",San Bernardino
"014120106",107900,Existing,2017,storage warehouse,San Bernardino County,"0",San Bernardino
"014128125",60300,Existing,2006,storage warehouse,San Bernardino County,"0",San Bernardino
"014143122",592900,Existing,2018,distribution warehouse,San Bernardino County,"0",San Bernardino
"014143123",506000,Existing,2018,improvements ass'd associated apn,San Bernardino County,"0",San Bernardino
"014213202",602700,Existing,1980,light industrial,San Bernardino County,"0",San Bernardino
"014210140",236500,Existing,2001,light industrial,San Bernardino County,"0",San Bernardino
"014221136",622100,Existing,2022,light industrial,San Bernardino County,"0",San Bernardino
"014404267",137300,Existing,1980,distribution warehouse,San Bernardino County,"0",San Bernardino
"014801154",1049800,Existing,2007,distribution warehouse,San Bernardino County,"0",San Bernardino
"014801168",737500,Existing,2007,distribution warehouse,San Bernardino County,"0",San Bernardino
"014801169",273600,Existing,2007,distribution warehouse,San Bernardino County,"0",San Bernardino
"014801166",760600,Existing,2013,improvements ass'd associated apn,San Bernardino County,"0",San Bernardino
"014718138",169300,Existing,2002,light industrial,San Bernardino County,"0",San Bernardino
"014718136",163100,Existing,2010,improvements ass'd associated apn,San Bernardino County,"0",San Bernardino
"014801165",906500,Existing,2007,distribution warehouse,San Bernardino County,"0",San Bernardino
"014801153",353400,Existing,2007,distribution warehouse,San Bernardino County,"0",San Bernardino
"014801150",324600,Existing,2007,distribution warehouse,San Bernardino County,"0",San Bernardino
"014812204",594800,Existing,2020,distribution warehouse,San Bernardino County,"0",San Bernardino
"014812202",283400,Existing,1980,light industrial,San Bernardino County,"1",San Bernardino
"016024159",58700,Existing,1980,storage warehouse,San Bernardino County,"0",Colton
"016106134",223800,Existing,1980,light industrial,San Bernardino County,"0",Colton
"016106139",243900,Existing,1980,light industrial,San Bernardino County,"0",Colton
"016024248",61900,Existing,1980,storage warehouse,San Bernardino County,"0",Colton
"016024112",385100,Existing,1980,light industrial,San Bernardino County,"0",Colton
"016014133",99800,Existing,1980,storage warehouse,San Bernardino County,"0",Colton
"016208626",72000,Existing,1980,storage warehouse,San Bernardino County,"0",Colton
"016320107",190400,Existing,1980,storage warehouse,San Bernardino County,"0",Colton
"016314118",1564000,Existing,2022,light industrial,San Bernardino County,"0",Colton
"016339111",310900,Existing,1980,light industrial,San Bernardino County,"0",Colton
"016329223",191900,Existing,1980,light industrial,San Bernardino County,"0",Colton
